rep,features
0,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
1,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
2,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_17', 'feat_74', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
3,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_73', 'feat_76', 'feat_19']"
4,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_17', 'feat_74', 'feat_6', 'feat_71', 'feat_75', 'feat_33', 'feat_26', 'feat_0', 'feat_73', 'feat_76', 'feat_19']"
5,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_26', 'feat_71', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
6,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
7,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_71', 'feat_75', 'feat_26', 'feat_33', 'feat_0', 'feat_73', 'feat_76', 'feat_20']"
8,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_0', 'feat_33', 'feat_76', 'feat_73', 'feat_19']"
9,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
10,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_71', 'feat_75', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
11,"['feat_70', 'feat_67', 'feat_69', 'feat_27', 'feat_72', 'feat_17', 'feat_74', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
12,"['feat_70', 'feat_67', 'feat_69', 'feat_27', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
13,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_0', 'feat_33', 'feat_76', 'feat_73', 'feat_20']"
14,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_26', 'feat_71', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
15,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
16,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
17,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_0', 'feat_33', 'feat_76', 'feat_73', 'feat_20']"
18,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_73', 'feat_76', 'feat_19']"
19,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_71', 'feat_75', 'feat_26', 'feat_33', 'feat_0', 'feat_73', 'feat_76', 'feat_20']"
20,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_0', 'feat_33', 'feat_76', 'feat_73', 'feat_20']"
21,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
22,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_71', 'feat_75', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
23,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_71', 'feat_75', 'feat_26', 'feat_33', 'feat_0', 'feat_73', 'feat_76', 'feat_20']"
24,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
25,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_17', 'feat_74', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
26,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_0', 'feat_33', 'feat_76', 'feat_73', 'feat_20']"
27,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_20']"
28,"['feat_70', 'feat_67', 'feat_27', 'feat_69', 'feat_72', 'feat_74', 'feat_17', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_33', 'feat_0', 'feat_76', 'feat_73', 'feat_19']"
29,"['feat_70', 'feat_67', 'feat_27', 'feat_72', 'feat_69', 'feat_17', 'feat_74', 'feat_6', 'feat_75', 'feat_71', 'feat_26', 'feat_0', 'feat_33', 'feat_76', 'feat_73', 'feat_20']"
